date,subject,msg
"Thu, 7 Nov 2019 16:57:09 -0800 (PST)",Subject: UPennAlert issued at 11/7/19 7:55 PM,"UPennAlert: Robbery with Weapon at 4300 BLOCK PINE STREET. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Wed, 10 Mar 2021 04:30:20 -0800 (PST)",Subject: UPennAlert issued at 3/10/21 7:25 AM,"UPennAlert: All clear in the area of 3900 Blk of Chestnut St . Police and Allied Security patrolling the area You may resume normal activity. See www.publicsafety.upenn.edu
"
"Mon, 5 Nov 2018 04:34:56 -0800 (PST)",Subject: UPennAlert issued at 11/5/18 7:30 AM,"UPennAlert: All University Phone lines including PennComm are down due to a major Verizon outage. Call 9-1-1 for emergencies until further notice. For more information go to www.publicsafety.upenn.edu at University Wide. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Sat, 18 Jan 2020 21:55:51 -0800 (PST)",Subject: UPennAlert issued at 1/19/20 12:55 AM,"UPennAlert: Robbery no Weapon at 4200 locust st. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Sat, 30 May 2020 19:06:22 -0700 (PDT)",Subject: UPennAlert issued at 5/30/20 10:04 PM,"UPennAlert: The City of Philadelphia has implemented a citywide curfew from 8 pm tonight until 6 am tomorrow due to civil unrest. . See www.publicsafety.upenn.edu for more details. 
"
"Thu, 22 Aug 2019 12:29:43 -0700 (PDT)",Subject: UPennAlert issued at 8/22/19 3:27 PM,"UPennAlert: Theft  at 3300 Block of Walnut St . Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Sun, 27 Jan 2019 17:31:04 -0800 (PST)",Subject: UPennAlert issued at 1/27/19 8:28 PM,"UPennAlert: Indecent Assault  at 38th and Woodland Walk. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
"Tue, 2 Jun 2020 15:01:59 -0700 (PDT)",Subject: UPennAlert issued at 6/2/20 5:58 PM,"UPennAlert: Consistent with the City of Philadelphia announcement of emergency operations and City office closures, University operations are modified for those employees scheduled to report to campus on Wednesday, June 3, 2020.  Only University employees considered essential for life safety activity who are notified by their supervisor should report.  University employees working remotely should continue to do so.  All Health System employees working downtown should be guided by their supervisors.. See www.publicsafety.upenn.edu for more details. 
"
"Sun, 31 May 2020 18:08:26 -0700 (PDT)",Subject: UPennAlert issued at 5/31/20 9:05 PM,"UPennAlert: Consistent with the City of Philadelphia=E2=80=99s announcement=
"
"Thu, 21 Nov 2019 20:25:08 -0800 (PST)",Subject: UPennAlert issued at 11/21/19 11:22 PM,"UPennAlert: Retail Robbery with Weapon at 4145 Chestnut St. Use caution, police on scene, avoid area. See www.publicsafety.upenn.edu for details
"
